epoch,acc,loss,val_acc,val_loss
0,0.596005154639,0.678706751656,0.6075,0.67011146307
1,0.615979381443,0.664650274306,0.6425,0.637874145508
2,0.64175257732,0.643383647978,0.64375,0.623951086998
3,0.688466494845,0.609298538301,0.695,0.596145832539
4,0.672680412371,0.620821652339,0.6975,0.58789722681
5,0.701030927835,0.591169663926,0.7175,0.554823977947
6,0.699420103093,0.585228872361,0.72875,0.520224063396
7,0.701277954081,0.565016452916,0.69125,0.581723687649
8,0.72973835318,0.546887788258,0.72,0.54725671649
9,0.720360824742,0.558906850127,0.755,0.515975096226
10,0.709729381443,0.555196588494,0.76,0.503903671503
11,0.739046391753,0.52935244865,0.78625,0.471374934912
12,0.723260309278,0.550712314463,0.71375,0.534724521637
13,0.741945876289,0.529233088813,0.73625,0.539544038773
14,0.72712628866,0.554290481757,0.7275,0.545441032648
15,0.742574255922,0.534350171452,0.7725,0.480379232168
16,0.728375359024,0.546097996105,0.7775,0.479157912731
17,0.738724226804,0.540827754232,0.75875,0.501306056976
18,0.743556701031,0.52591871693,0.755,0.506507515907
19,0.756765463918,0.526738796345,0.7675,0.491156184673
20,0.712306701031,0.558332411592,0.76125,0.541598590612
21,0.740335051546,0.526565408891,0.79,0.484812209606
22,0.728092783505,0.54364912258,0.775,0.527150069475
23,0.759821142243,0.508137635075,0.77125,0.516160820723
24,0.758059367105,0.52287443484,0.7625,0.492930737734
25,0.765463917526,0.493181224336,0.79,0.492570034266
26,0.67074742268,0.594028508233,0.73375,0.539095360041
27,0.75837628866,0.52007100109,0.785,0.4863692379
28,0.74581185567,0.525180237502,0.78125,0.482243801355
29,0.618878865979,0.64728112442,0.74125,0.61265158534
30,0.755798969072,0.520487646774,0.74875,0.608860074282
31,0.768125199046,0.500290323183,0.7875,0.446801313162
32,0.652090647561,0.612201307819,0.77625,0.483689903021
33,0.651095360825,0.62810628961,0.6175,0.653337442875
34,0.648840206186,0.636219591824,0.76875,0.470928432941
35,0.756765463918,0.515126245845,0.76625,0.463066093922
36,0.765463917526,0.509171902519,0.745,0.549444861412
37,0.769007731959,0.501327350275,0.77375,0.484931598902
38,0.654317010309,0.600661328466,0.6225,0.654521446228
39,0.621086259838,0.656340537304,0.755,0.52127812624
40,0.711869814496,0.552516011919,0.745,0.5156379354
41,0.769974226804,0.495980618848,0.78625,0.440021756887
42,0.760309278351,0.507527304986,0.77375,0.461688916683
43,0.736469072165,0.527426559901,0.7725,0.493227906227
44,0.720360824742,0.546071426156,0.765,0.469595299959
45,0.775128865979,0.476031979335,0.62625,0.659108021259
46,0.685244845361,0.585940769038,0.63375,0.671613385677
47,0.611501595768,0.660721526321,0.66,0.638324854374
48,0.609763879683,0.665421966827,0.63875,0.650063607693
49,0.637242268041,0.640907670726,0.8,0.450078701973
50,0.767719072165,0.513066414398,0.74625,0.5065462327
51,0.776095360825,0.488432719382,0.79375,0.449478029013
52,0.789948453608,0.458868423995,0.81875,0.43883918643
53,0.76675257732,0.497692913124,0.77375,0.468559652567
54,0.790270618557,0.458758876957,0.78875,0.479188387394
55,0.789204726639,0.469065960538,0.77375,0.444982589483
56,0.790616022563,0.467480742385,0.80125,0.435957638025
57,0.741301546392,0.510355852775,0.7775,0.46328266263
58,0.786082474227,0.469677129357,0.80125,0.431395125389
59,0.788015463918,0.483704737474,0.78375,0.455337277651
60,0.792847938144,0.452961243612,0.80125,0.421413093805
61,0.734858247423,0.515594789201,0.64625,0.656965575218
62,0.596971649485,0.676094875508,0.61,0.669381055832
63,0.597124599268,0.673465298635,0.58375,0.679668228626
64,0.762284620122,0.503217525252,0.76375,0.493508206606
65,0.805734536082,0.429395741869,0.7525,0.557799841166
66,0.794780927835,0.460786173024,0.78,0.441802632809
67,0.788015463918,0.465141913018,0.7825,0.425378811359
68,0.792847938144,0.455836334179,0.7875,0.413613996506
69,0.817654639175,0.431731365544,0.75625,0.489323148727
70,0.798646907216,0.44287761247,0.76125,0.46900683403
71,0.798212004138,0.44565376549,0.8025,0.444841398001
72,0.807151978329,0.437625246905,0.77375,0.445815759897
73,0.79381443299,0.454087823937,0.80875,0.405512619615
74,0.809922680412,0.434134585956,0.82,0.390671950579
75,0.824742268041,0.413662468189,0.7975,0.388276522756
76,0.794458762887,0.450313489769,0.62625,0.661797018051
77,0.608569587629,0.67171216687,0.63375,0.658604679108
78,0.602448453608,0.673620230144,0.6125,0.66796391964
79,0.602171136159,0.673671122731,0.62125,0.664559848309
80,0.589399744458,0.67830027362,0.5975,0.674131062031
81,0.61243556701,0.668604410801,0.63375,0.658302910328
82,0.621134020619,0.663862667133,0.64,0.654570844173
83,0.598582474227,0.67482336649,0.63625,0.657775390148
84,0.600837628866,0.674498892322,0.62875,0.661186523437
85,0.605347938144,0.672807718061,0.635,0.658056511879
86,0.603737113402,0.672990347307,0.6275,0.661665022373
87,0.5980204332,0.675146121746,0.615,0.667472660542
88,0.587484034513,0.678283186499,0.6325,0.661891467571
89,0.601481958763,0.673088371139,0.60625,0.670551664829
90,0.611469072165,0.669567347802,0.61625,0.666376748085
91,0.60824742268,0.670120757265,0.62875,0.660299773216
92,0.590528350515,0.677689914851,0.6025,0.672261857986
93,0.611469072165,0.668773600736,0.61875,0.665117650032
94,0.616822430022,0.666451630883,0.60625,0.670470175743
95,0.605170762343,0.672974955149,0.63125,0.659927825928
96,0.616219666916,0.666538969405,0.60375,0.671619932652
97,0.596005154639,0.675521357772,0.62625,0.662187960148
98,0.595682989691,0.675240005415,0.62125,0.6653957057
99,0.603737113402,0.671799061225,0.63375,0.65941576004
100,0.608891752577,0.670544228603,0.60875,0.669338140488
101,0.605670103093,0.672640200743,0.61875,0.665072875023
102,0.612310667212,0.668274656442,0.6125,0.667616853714
103,0.607085859989,0.670566563423,0.64625,0.652450399399
104,0.599297572836,0.674785826855,0.5875,0.677991454601
105,0.605025773196,0.671184721681,0.61375,0.667133953571
106,0.605025773196,0.670361807666,0.6125,0.667642874718
107,0.596327319588,0.675206695635,0.63625,0.658975667953
108,0.598904639175,0.674172604207,0.6325,0.660393650532
109,0.606958762887,0.670659071391,0.6325,0.659336123466
110,0.60747663536,0.670490672309,0.62375,0.663134932518
111,0.605809127756,0.67187822004,0.605,0.670940105915
112,0.590676882467,0.676966700042,0.61375,0.667791707516
113,0.615335051546,0.667183552821,0.6025,0.672061691284
114,0.61243556701,0.668550516527,0.62125,0.663653988838
115,0.599548969072,0.674034052288,0.6275,0.661692998409
116,0.605992268041,0.67133258913,0.62125,0.664196507931
117,0.594072164948,0.676093830276,0.6175,0.666342616081
118,0.606892150226,0.670013795176,0.61875,0.665036287308
119,0.606447493549,0.671086068432,0.65,0.652307128906
120,0.605809128364,0.671891901237,0.62,0.664767374992
121,0.600193298969,0.674082077041,0.625,0.662942290306
122,0.615335051546,0.667878721793,0.6225,0.663307037354
123,0.620167525773,0.66507979951,0.63125,0.658903968334
124,0.596327319588,0.674834213306,0.6575,0.648145925999
125,0.60631443299,0.671665682621,0.60625,0.670397830009
126,0.595405232872,0.675322080617,0.59875,0.673539357185
127,0.599744652583,0.672990116569,0.6325,0.659565229416
128,0.599106287389,0.673510117326,0.6325,0.659760942459
129,0.611146907216,0.668921998481,0.6225,0.66365913868
130,0.582152061856,0.680720642055,0.61625,0.667541136742
131,0.607280927835,0.670368943632,0.60375,0.671528394222
132,0.607280927835,0.670952616893,0.6375,0.657230417728
133,0.596327319588,0.675631944052,0.6375,0.657861914635
134,0.609125717856,0.669573645932,0.6175,0.665600812435
135,0.61666134581,0.66644740468,0.62375,0.662654366493
136,0.597191190248,0.673865560427,0.59625,0.674565496445
137,0.599226804124,0.673400706237,0.63625,0.65830987215
138,0.603092783505,0.672588637809,0.6175,0.66619427681
139,0.604703608247,0.671780584399,0.625,0.662526571751
140,0.600837628866,0.673065699253,0.625,0.662425637245
141,0.612757731959,0.668584622673,0.64125,0.654841229916
142,0.622208040443,0.664156937112,0.61875,0.664714467525
143,0.601786853252,0.672251487927,0.625,0.662535965443
144,0.607279693087,0.670349574942,0.62625,0.661763629913
145,0.604703608247,0.671237123381,0.64125,0.655599732399
146,0.604703608247,0.670678139347,0.6175,0.665689127445
147,0.613079896907,0.667543702519,0.63875,0.655466618538
148,0.611791237113,0.669655396766,0.64,0.655214223862
149,0.607603092784,0.669522637559,0.6125,0.667619540691
150,0.597957880665,0.673454586495,0.62125,0.664139349461
151,0.582694763006,0.680304319333,0.62875,0.663022546768
152,0.607849393385,0.669667672715,0.64625,0.653926262856
153,0.587951030928,0.678137364461,0.63,0.661543242931
154,0.597293814433,0.674736536041,0.6125,0.668263165951
155,0.61662371134,0.665780213076,0.6275,0.660914106369
156,0.596327319588,0.674378657464,0.61,0.668916778564
157,0.615012886598,0.667327678695,0.62625,0.661635026932
158,0.594767071026,0.675618966522,0.6075,0.669925353527
159,0.623243932323,0.663070972833,0.61625,0.66587584734
160,0.598596042796,0.674107592008,0.63,0.66040081501
161,0.618878865979,0.665573450093,0.60375,0.671651508808
162,0.601481958763,0.672815989588,0.665,0.645670399666
163,0.607603092784,0.670580574532,0.6125,0.667688107491
164,0.60631443299,0.670532310132,0.63125,0.659742791653
165,0.582339670786,0.680141121889,0.61875,0.666141045094
166,0.610377054002,0.669527120199,0.64,0.656564795971
167,0.596872007394,0.674563077552,0.63875,0.657253475189
168,0.599425469729,0.673319064559,0.65,0.65296421051
169,0.60212628866,0.672650696691,0.63125,0.660372805595
170,0.604059278351,0.671628158117,0.61875,0.665192275047
171,0.592139175258,0.676725188481,0.63875,0.657782709599
172,0.612757731959,0.668568117102,0.64125,0.655591306686
173,0.608443441658,0.669567030666,0.62,0.664447984695
174,0.617144698544,0.666070264115,0.64625,0.651894545555
175,0.599419916287,0.67381261815,0.64625,0.653282051086
176,0.594378791443,0.675745278378,0.65125,0.652360129356
177,0.596649484536,0.674036946493,0.63,0.660684027672
178,0.606636597938,0.670139428267,0.59,0.677359194756
179,0.617590206186,0.665475978065,0.61,0.668778398037
180,0.596649484536,0.675436495506,0.62125,0.6642212677
181,0.612310667212,0.667881352495,0.59625,0.674712302685
182,0.604253947581,0.671653190928,0.6075,0.669861752987
183,0.601998066214,0.672423478407,0.63125,0.660000228882
184,0.612264451614,0.668206914893,0.61,0.668748207092
185,0.611791237113,0.668265679448,0.61625,0.665918674469
186,0.605347938144,0.671129247577,0.615,0.666563997269
187,0.600515463918,0.673120994543,0.62375,0.663127379417
188,0.600193298969,0.673035083972,0.605,0.670962555408
189,0.599742184771,0.673705651919,0.615,0.666940705776
190,0.61746696724,0.665718829482,0.63375,0.658148846626
191,0.597808572196,0.674570762646,0.65125,0.65137513876
192,0.59565633899,0.674766944282,0.6175,0.665950930119
193,0.594072164948,0.675749492399,0.62375,0.663640511036
194,0.613402061856,0.667540613523,0.61,0.668779797554
195,0.605347938144,0.670799598251,0.61625,0.66605048418
196,0.595682989691,0.674700065372,0.64375,0.654782357216
197,0.616822429446,0.666141695796,0.64125,0.654667935371
198,0.61327747349,0.667557523841,0.62,0.664195394516
199,0.594767070579,0.675804306499,0.63125,0.65989865303
200,0.610791825928,0.668837074233,0.63,0.660064496994
201,0.593105670103,0.676026728964,0.62,0.664820771217
202,0.618556701031,0.665352716274,0.64,0.655259153843
203,0.613724226804,0.667051520544,0.6425,0.653897278309
204,0.590528350515,0.67768358324,0.61875,0.665298624039
205,0.599097647313,0.673762189624,0.6225,0.663794970512
206,0.603609409787,0.671803197494,0.605,0.670947856903
207,0.623267805177,0.663483412274,0.61625,0.665898840427
208,0.592143083848,0.676645450834,0.64125,0.655770790577
209,0.594072164948,0.675716756545,0.6325,0.660041122437
210,0.617268041237,0.666504819369,0.64875,0.652282323837
211,0.598260309278,0.673730330983,0.62375,0.663131628036
