epoch,acc,loss,val_acc,val_loss
0,0.742055084746,0.547642172898,0.744140625,0.603925537318
1,0.773834745763,0.499052103798,0.640625,0.83790994063
2,0.749470338983,0.525486573324,0.71875,0.575277589262
3,0.772198730839,0.475050814166,0.73046875,0.558880958706
4,0.800847457627,0.44724931429,0.7578125,0.54066109471
5,0.787076271186,0.446216743376,0.763671875,0.546919213608
6,0.794491525424,0.442338393906,0.7421875,0.567136930302
7,0.80126849699,0.427194904591,0.751953125,0.640721892938
8,0.821504237288,0.398275312731,0.783203125,0.546965520829
9,0.825211864407,0.392954066143,0.75,0.556423200294
10,0.804025423729,0.414436941682,0.7265625,0.582857290283
11,0.812367863024,0.420284210108,0.740234375,0.516229586676
12,0.844279661017,0.364404564439,0.72265625,0.625743569806
